period,test_year,model_type,best_params,rmse,mae,r2
1,2013.0,xgboost,"{'n_estimators': 188, 'max_depth': 5, 'learning_rate': 0.11074476233102568, 'subsample': 0.9209175862010041, 'colsample_bytree': 0.9138454471920515, 'reg_alpha': 4.266767137083112, 'reg_lambda': 4.213560230146214}",12.596693761698669,4.842633010006249,0.9092861010761583
1,2013.0,random_forest,"{'n_estimators': 442, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None}",14.63611826191166,4.98692489597692,0.877534852250076
2,2014.0,xgboost,"{'n_estimators': 488, 'max_depth': 5, 'learning_rate': 0.25401279312539804, 'subsample': 0.8618791273798533, 'colsample_bytree': 0.9271145631118977, 'reg_alpha': 5.56769893146975, 'reg_lambda': 6.69276241574876}",8.112507224173925,3.2825794361630853,0.9466536494412474
2,2014.0,random_forest,"{'n_estimators': 314, 'max_depth': 30, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': None}",6.4314603512237944,2.675328662844921,0.9664715316253873
3,2015.0,xgboost,"{'n_estimators': 84, 'max_depth': 8, 'learning_rate': 0.19107381605864138, 'subsample': 0.602650125186471, 'colsample_bytree': 0.9798900417290188, 'reg_alpha': 6.672404434209994, 'reg_lambda': 1.3415702072562237}",9.601353113954232,3.632377560387782,0.9460235115405686
3,2015.0,random_forest,"{'n_estimators': 205, 'max_depth': 13, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': None}",10.319442640244977,4.114576414305634,0.9376477362401825
4,2016.0,xgboost,"{'n_estimators': 394, 'max_depth': 10, 'learning_rate': 0.2897295438206493, 'subsample': 0.6041894742289237, 'colsample_bytree': 0.992464352022519, 'reg_alpha': 6.090642822871326, 'reg_lambda': 2.5970232835081637}",13.848810863750627,4.068436779883957,0.9381987757530527
4,2016.0,random_forest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': None}",13.411925472209292,3.88034938867589,0.9420365304832379
5,2017.0,xgboost,"{'n_estimators': 372, 'max_depth': 6, 'learning_rate': 0.29590185629905397, 'subsample': 0.8546632306162119, 'colsample_bytree': 0.9933881803092536, 'reg_alpha': 5.044936423670627, 'reg_lambda': 6.520750234684758}",13.242511868555134,4.006864571580137,0.8929672842282755
5,2017.0,random_forest,"{'n_estimators': 194, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",6.9733805682415255,2.5943167446381015,0.9703200928612621
