period,test_year,model_type,best_params,feature_importance,rmse,mae,r2
1,2013.0,random_forest,"{'n_estimators': 382, 'max_depth': 22, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}","{'Área (km²)': np.float64(0.12803175509415066), 'desmatamento_ma3': np.float64(0.12496141261180971), 'area_normalizada': np.float64(0.11960502152433124), 'ibama_autos_flora': np.float64(0.10822555033630579), 'desmatamento_lag1': np.float64(0.09090340959579772), 'ibama_total_autos': np.float64(0.08734412968532908), 'ibama_valor_total_multas': np.float64(0.08551990948258842), 'Necessidades Humanas Básicas': np.float64(0.05793038685287765), 'Índice de Progresso Social': np.float64(0.03830764231147682), 'ibama_valor_medio_multas': np.float64(0.03677292753156877), 'ano_normalizado': np.float64(0.025181372274530517), 'Fundamentos do Bem-estar': np.float64(0.02473292121893677), 'desmatamento_crescimento': np.float64(0.02139022399332105), 'População 2022': np.float64(0.01645011705456616), 'Oportunidades': np.float64(0.0150887791927251), 'PIB per capita 2021': np.float64(0.013120870386491129), 'periodo_presidencial_encoded': np.float64(0.0059908654854326825), 'ano_transicao': np.float64(0.0004427053677606508)}",18.792620293402816,8.426145444106186,0.7981004418102451
2,2014.0,random_forest,"{'n_estimators': 399, 'max_depth': 24, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}","{'desmatamento_ma3': np.float64(0.12552213319037275), 'area_normalizada': np.float64(0.10965793803546992), 'Área (km²)': np.float64(0.10764530361084476), 'desmatamento_lag1': np.float64(0.10221545262129499), 'ibama_autos_flora': np.float64(0.09985723611896584), 'ibama_valor_total_multas': np.float64(0.09383485068622079), 'ibama_total_autos': np.float64(0.08422390996717495), 'Necessidades Humanas Básicas': np.float64(0.042751453322207686), 'ibama_valor_medio_multas': np.float64(0.039970643252058034), 'Índice de Progresso Social': np.float64(0.03819396238816778), 'desmatamento_crescimento': np.float64(0.031168530768438858), 'ano_normalizado': np.float64(0.03006750609634259), 'Fundamentos do Bem-estar': np.float64(0.025248490103151562), 'Oportunidades': np.float64(0.02463219381610855), 'PIB per capita 2021': np.float64(0.020215738528532663), 'População 2022': np.float64(0.017557397843866483), 'periodo_presidencial_encoded': np.float64(0.005763187361708227), 'ano_transicao': np.float64(0.0014740722890736369)}",13.806602326564212,6.62309013766433,0.845485886893981
3,2015.0,random_forest,"{'n_estimators': 315, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None}","{'desmatamento_lag1': np.float64(0.1848582003935502), 'desmatamento_ma3': np.float64(0.1628850965733826), 'area_normalizada': np.float64(0.11485615146356773), 'ibama_autos_flora': np.float64(0.09980337187489167), 'Área (km²)': np.float64(0.08764893870273595), 'ibama_valor_total_multas': np.float64(0.06916737031109363), 'ibama_total_autos': np.float64(0.06746166945642657), 'desmatamento_crescimento': np.float64(0.058114071186410404), 'ano_normalizado': np.float64(0.037894153538596966), 'Necessidades Humanas Básicas': np.float64(0.029579916207627843), 'ibama_valor_medio_multas': np.float64(0.025776841488041248), 'Índice de Progresso Social': np.float64(0.01595277330448339), 'Fundamentos do Bem-estar': np.float64(0.013600855869141924), 'PIB per capita 2021': np.float64(0.012316057479412557), 'População 2022': np.float64(0.010172240697162946), 'Oportunidades': np.float64(0.006273712578562913), 'periodo_presidencial_encoded': np.float64(0.003377442744912382), 'ano_transicao': np.float64(0.0002611361299991751)}",9.814087917700098,4.656634059521235,0.943605125930814
4,2016.0,random_forest,"{'n_estimators': 433, 'max_depth': 9, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': None}","{'desmatamento_lag1': np.float64(0.2085381401396622), 'desmatamento_ma3': np.float64(0.19356413632646569), 'Área (km²)': np.float64(0.10337716962434136), 'ibama_autos_flora': np.float64(0.09568415300279735), 'area_normalizada': np.float64(0.09375751621418867), 'ibama_total_autos': np.float64(0.06794837763979467), 'desmatamento_crescimento': np.float64(0.056901611718035504), 'ibama_valor_total_multas': np.float64(0.05636231707036901), 'ano_normalizado': np.float64(0.026703867433521045), 'Necessidades Humanas Básicas': np.float64(0.02550978336797293), 'Índice de Progresso Social': np.float64(0.01606919656061801), 'ibama_valor_medio_multas': np.float64(0.014770549546642735), 'Fundamentos do Bem-estar': np.float64(0.013260125792428988), 'População 2022': np.float64(0.011932669069654515), 'PIB per capita 2021': np.float64(0.00874536940282916), 'Oportunidades': np.float64(0.005744364663748574), 'periodo_presidencial_encoded': np.float64(0.0010725741602000917), 'ano_transicao': np.float64(5.807826672944335e-05)}",18.389253235205828,5.784699333435826,0.8910316695176657
5,2017.0,random_forest,"{'n_estimators': 152, 'max_depth': 28, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}","{'desmatamento_lag1': np.float64(0.24597038528783235), 'desmatamento_ma3': np.float64(0.1822640946647641), 'area_normalizada': np.float64(0.11997862780758736), 'ibama_autos_flora': np.float64(0.10107387393132788), 'Área (km²)': np.float64(0.09035444475647557), 'desmatamento_crescimento': np.float64(0.06098294924563588), 'ibama_total_autos': np.float64(0.04129885590386634), 'ibama_valor_total_multas': np.float64(0.04005453478082452), 'Necessidades Humanas Básicas': np.float64(0.028996690965658736), 'ano_normalizado': np.float64(0.023314361064923943), 'ibama_valor_medio_multas': np.float64(0.017635118022307716), 'Fundamentos do Bem-estar': np.float64(0.014551652695594415), 'População 2022': np.float64(0.010659147671792001), 'PIB per capita 2021': np.float64(0.00852112440067081), 'Índice de Progresso Social': np.float64(0.007627943837477), 'Oportunidades': np.float64(0.0044405282856627695), 'periodo_presidencial_encoded': np.float64(0.002122939474513143), 'ano_transicao': np.float64(0.00015272720308550554)}",12.712351698836462,5.068946526644279,0.9013657827538947
6,2018.0,random_forest,"{'n_estimators': 157, 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': None}","{'desmatamento_lag1': np.float64(0.29158066139635885), 'desmatamento_ma3': np.float64(0.16483466472540537), 'Área (km²)': np.float64(0.10069437042031916), 'area_normalizada': np.float64(0.0889448863060947), 'desmatamento_crescimento': np.float64(0.0734117687306574), 'ibama_autos_flora': np.float64(0.07061225885434468), 'ibama_valor_total_multas': np.float64(0.047800552769306684), 'ibama_total_autos': np.float64(0.037980679908375996), 'ano_normalizado': np.float64(0.028618704895773416), 'ibama_valor_medio_multas': np.float64(0.02295026498705075), 'Necessidades Humanas Básicas': np.float64(0.021224830920865977), 'Índice de Progresso Social': np.float64(0.013750022200017765), 'População 2022': np.float64(0.012558376812567279), 'PIB per capita 2021': np.float64(0.009469427799257909), 'Fundamentos do Bem-estar': np.float64(0.008148635502996179), 'Oportunidades': np.float64(0.004945275932845531), 'periodo_presidencial_encoded': np.float64(0.002041375558004041), 'ano_transicao': np.float64(0.00043324227975837724)}",14.516441952607828,4.146976854009483,0.924351252225763
7,2019.0,random_forest,"{'n_estimators': 184, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': None}","{'desmatamento_lag1': np.float64(0.3316861603230084), 'desmatamento_ma3': np.float64(0.1510144577659128), 'Área (km²)': np.float64(0.09594759243580028), 'area_normalizada': np.float64(0.09245844272551111), 'desmatamento_crescimento': np.float64(0.0740424303730232), 'ibama_autos_flora': np.float64(0.07109974759272418), 'ibama_total_autos': np.float64(0.03602581053929798), 'ibama_valor_total_multas': np.float64(0.028903086895388876), 'Necessidades Humanas Básicas': np.float64(0.028347755470068042), 'ano_normalizado': np.float64(0.02779525236717014), 'ibama_valor_medio_multas': np.float64(0.017359406695504315), 'Índice de Progresso Social': np.float64(0.01248096995039944), 'PIB per capita 2021': np.float64(0.008852360814488305), 'População 2022': np.float64(0.008401196193473773), 'Fundamentos do Bem-estar': np.float64(0.008197238465582698), 'Oportunidades': np.float64(0.005512075247439985), 'periodo_presidencial_encoded': np.float64(0.001845931718015757), 'ano_transicao': np.float64(3.0084427190817085e-05)}",44.477359673200525,11.828358590974815,0.7514916537078927
8,2020.0,random_forest,"{'n_estimators': 126, 'max_depth': 12, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': None}","{'desmatamento_lag1': np.float64(0.39955135930029984), 'desmatamento_ma3': np.float64(0.13980746728869256), 'desmatamento_crescimento': np.float64(0.097865263008087), 'area_normalizada': np.float64(0.08550377130667053), 'ibama_autos_flora': np.float64(0.06903681287567162), 'Área (km²)': np.float64(0.06190832089079093), 'ibama_valor_total_multas': np.float64(0.02788288761659065), 'ibama_total_autos': np.float64(0.02594698187155962), 'ano_normalizado': np.float64(0.02563463710004028), 'Necessidades Humanas Básicas': np.float64(0.020494305607094497), 'ibama_valor_medio_multas': np.float64(0.013548466903568795), 'Fundamentos do Bem-estar': np.float64(0.010975074774013596), 'Índice de Progresso Social': np.float64(0.009024729646093554), 'PIB per capita 2021': np.float64(0.004538582772947585), 'Oportunidades': np.float64(0.004011833221392882), 'População 2022': np.float64(0.003639429150446443), 'periodo_presidencial_encoded': np.float64(0.0006040059910398728), 'ano_transicao': np.float64(2.6070674999744527e-05)}",46.888254671270886,9.224781392183608,0.7726549758579486
9,2021.0,random_forest,"{'n_estimators': 376, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}","{'desmatamento_lag1': np.float64(0.48399406975949405), 'desmatamento_ma3': np.float64(0.11133447578035717), 'desmatamento_crescimento': np.float64(0.10822231081883617), 'Área (km²)': np.float64(0.06606314420370998), 'area_normalizada': np.float64(0.06209120258704189), 'ibama_autos_flora': np.float64(0.03941806069913247), 'ibama_valor_total_multas': np.float64(0.03142797035037182), 'ibama_valor_medio_multas': np.float64(0.02676218501335865), 'ano_normalizado': np.float64(0.01825308196081566), 'ibama_total_autos': np.float64(0.017740612453075226), 'Necessidades Humanas Básicas': np.float64(0.010329617353205263), 'Índice de Progresso Social': np.float64(0.008627828694305383), 'Oportunidades': np.float64(0.0037758195212804053), 'periodo_presidencial_encoded': np.float64(0.003761362692369088), 'PIB per capita 2021': np.float64(0.0034930056641940843), 'Fundamentos do Bem-estar': np.float64(0.0024204415601977586), 'População 2022': np.float64(0.0019064533222118436), 'ano_transicao': np.float64(0.00037835756604318103)}",28.340215812653426,6.25840469117799,0.9225033970577148
10,2022.0,random_forest,"{'n_estimators': 78, 'max_depth': 21, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None}","{'desmatamento_lag1': np.float64(0.595714233836367), 'desmatamento_ma3': np.float64(0.11347887305685016), 'desmatamento_crescimento': np.float64(0.09827523273578777), 'area_normalizada': np.float64(0.03735456103358133), 'Área (km²)': np.float64(0.03154563911820631), 'ibama_autos_flora': np.float64(0.030434710003865054), 'ibama_valor_total_multas': np.float64(0.029808451423151017), 'ano_normalizado': np.float64(0.016343921613853722), 'ibama_valor_medio_multas': np.float64(0.013266259467795841), 'ibama_total_autos': np.float64(0.010413033461611852), 'Índice de Progresso Social': np.float64(0.00498916325488123), 'PIB per capita 2021': np.float64(0.004206093644510194), 'Necessidades Humanas Básicas': np.float64(0.004205218288124134), 'Fundamentos do Bem-estar': np.float64(0.0034436388084751815), 'periodo_presidencial_encoded': np.float64(0.003116792368427743), 'Oportunidades': np.float64(0.0018421287269253569), 'População 2022': np.float64(0.001433535701548775), 'ano_transicao': np.float64(0.0001285134560372603)}",10.898683347458112,3.058380672481617,0.9859444172062488
