period,test_year,model_type,best_params,rmse,mae,r2,feature_importance
1,2013.0,random_forest,"{'n_estimators': 382, 'max_depth': 22, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",18.792620293402816,8.426145444106186,0.7981004418102451,
2,2014.0,random_forest,"{'n_estimators': 399, 'max_depth': 24, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",13.806602326564212,6.62309013766433,0.845485886893981,
3,2015.0,random_forest,"{'n_estimators': 315, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None}",9.814087917700098,4.656634059521235,0.943605125930814,
4,2016.0,random_forest,"{'n_estimators': 433, 'max_depth': 9, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': None}",18.389253235205828,5.784699333435826,0.8910316695176657,
5,2017.0,random_forest,"{'n_estimators': 152, 'max_depth': 28, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}",12.712351698836462,5.068946526644279,0.9013657827538947,
6,2018.0,random_forest,"{'n_estimators': 157, 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': None}",14.516441952607828,4.146976854009483,0.924351252225763,
7,2019.0,random_forest,"{'n_estimators': 184, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': None}",44.477359673200525,11.828358590974815,0.7514916537078927,
8,2020.0,random_forest,"{'n_estimators': 126, 'max_depth': 12, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': None}",46.888254671270886,9.224781392183608,0.7726549758579486,
9,2021.0,random_forest,"{'n_estimators': 376, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}",28.340215812653426,6.25840469117799,0.9225033970577148,
10,2022.0,random_forest,"{'n_estimators': 78, 'max_depth': 21, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None}",10.898683347458112,3.058380672481617,0.9859444172062488,
11,2023.0,random_forest,"{'n_estimators': 344, 'max_depth': 27, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': None}",26.097380680189186,6.259424900886976,0.7308361168965949,
1,2013.0,xgboost,"{'n_estimators': 196, 'max_depth': 6, 'learning_rate': 0.2232826035461533, 'subsample': 0.962401316995813, 'colsample_bytree': 0.7941058077735214, 'reg_alpha': 3.918216148571398, 'reg_lambda': 5.874931626903431}",22.653284978816657,8.948094759075236,0.7066250235617856,"{'ibama_autos_flora': np.float32(0.23269647), 'area_normalizada': np.float32(0.23055132), 'Necessidades Humanas Básicas': np.float32(0.09677271), 'periodo_presidencial_encoded': np.float32(0.084608495), 'ibama_valor_total_multas': np.float32(0.073569566), 'Área (km²)': np.float32(0.06771664), 'ano_normalizado': np.float32(0.04085789), 'Índice de Progresso Social': np.float32(0.034748662), 'desmatamento_crescimento': np.float32(0.024496678), 'PIB per capita 2021': np.float32(0.024080483), 'desmatamento_ma3': np.float32(0.021818265), 'ibama_valor_medio_multas': np.float32(0.017641464), 'Fundamentos do Bem-estar': np.float32(0.011037382), 'Oportunidades': np.float32(0.010619246), 'População 2022': np.float32(0.009425482), 'ibama_total_autos': np.float32(0.009396971), 'desmatamento_lag1': np.float32(0.0066209217), 'ano_transicao': np.float32(0.0033413174)}"
2,2014.0,xgboost,"{'n_estimators': 416, 'max_depth': 6, 'learning_rate': 0.10556195943172246, 'subsample': 0.7091368663588642, 'colsample_bytree': 0.7229350135810496, 'reg_alpha': 3.5992487497314203, 'reg_lambda': 7.60823122255437}",11.485593742118354,4.267002142274462,0.893069542990292,"{'ibama_autos_flora': np.float32(0.17664619), 'area_normalizada': np.float32(0.1726312), 'Necessidades Humanas Básicas': np.float32(0.07823971), 'ibama_total_autos': np.float32(0.067524195), 'periodo_presidencial_encoded': np.float32(0.066582486), 'desmatamento_ma3': np.float32(0.06302697), 'Área (km²)': np.float32(0.05938528), 'ibama_valor_total_multas': np.float32(0.059165895), 'PIB per capita 2021': np.float32(0.038729444), 'ano_normalizado': np.float32(0.03794932), 'Índice de Progresso Social': np.float32(0.03778836), 'desmatamento_crescimento': np.float32(0.02693355), 'Fundamentos do Bem-estar': np.float32(0.026002374), 'População 2022': np.float32(0.02472149), 'desmatamento_lag1': np.float32(0.020096857), 'ibama_valor_medio_multas': np.float32(0.018438477), 'Oportunidades': np.float32(0.013622457), 'ano_transicao': np.float32(0.012515726)}"
